"SAMPLE.VALUE","SAMPLE.COUNT","MEAN.VALUE","MEAN.COUNT","ANOM.VALUE","MIN.VALUE","MAX.VALUE","lon","lat","prec","Rice yield"
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,29.9500007629395,0.2067118,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.0499992370605,0.19930795,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.1499996185303,0.19245726,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.25,0.19040643,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.3500003814697,0.20935883,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.4500007629395,0.22428492,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.5499992370605,0.22070286,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.6499996185303,0.20502388,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.75,0.19928804,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.8500003814697,0.18949124,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,30.9500007629395,0.18513432,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.0499992370605,0.18171212,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.1499996185303,0.17877914,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.25,0.1783609,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.3500003814697,0.18329337,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.4500007629395,0.18585117,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.5499992370605,0.18334673,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.6499996185303,0.18850625,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.75,0.19267996,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.8500003814697,0.20396456,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,31.9500007629395,0.21385486,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.0499992370605,0.20295838,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.1500015258789,0.20063308,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.25,0.19898203,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.3499984741211,0.19779795,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.4500007629395,0.18143636,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.5499992370605,0.15968248,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.6500015258789,0.14781521,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.75,0.13497123,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.8499984741211,0.13017042,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,32.9500007629395,0.12882291,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.0499992370605,0.12366208,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.1500015258789,0.11383552,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.25,0.10793646,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.3499984741211,0.10228304,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.4500007629395,0.100445226,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.5499992370605,0.10059116,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.6500015258789,0.09563828,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.75,0.088600285,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.8499984741211,0.0823886,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,33.9500007629395,0.07944225,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.0499992370605,0.077647254,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.1500015258789,0.07175676,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.25,0.06593902,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.3499984741211,0.06093528,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.4500007629395,0.055753,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.5499992370605,0.052537426,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.6500015258789,0.051169135,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.75,0.048936177,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.8499984741211,0.04477935,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,34.9500007629395,0.044218548,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.75,35.0499992370605,0.043818858,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,29.9500007629395,0.20942944,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.0499992370605,0.20794207,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.1499996185303,0.20496853,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.25,0.20232768,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.3500003814697,0.2110149,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.4500007629395,0.2287732,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.5499992370605,0.2254881,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.6499996185303,0.20927957,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.75,0.19985937,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.8500003814697,0.19607536,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,30.9500007629395,0.1882796,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.0499992370605,0.18917584,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.1499996185303,0.18521348,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.25,0.18228613,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.3500003814697,0.18396264,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.4500007629395,0.1880077,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.5499992370605,0.18913265,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.6499996185303,0.19093889,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.75,0.19398543,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.8500003814697,0.20991887,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,31.9500007629395,0.22124796,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.0499992370605,0.20886186,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.1500015258789,0.20198226,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.25,0.20253682,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.3499984741211,0.19921781,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.4500007629395,0.18816967,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.5499992370605,0.16341354,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.6500015258789,0.15092862,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.75,0.13586421,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.8499984741211,0.13170798,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,32.9500007629395,0.1273219,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.0499992370605,0.1216393,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.1500015258789,0.11423111,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.25,0.10917545,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.3499984741211,0.10191935,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.4500007629395,0.099925056,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.5499992370605,0.09841276,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.6500015258789,0.09498976,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.75,0.089692414,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.8499984741211,0.083914,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,33.9500007629395,0.08058357,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.0499992370605,0.078874886,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.1500015258789,0.07362212,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.25,0.06572041,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.3499984741211,0.062020477,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.4500007629395,0.057663854,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.5499992370605,0.05387175,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.6500015258789,0.05151399,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.75,0.04886125,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.8499984741211,0.045307644,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,34.9500007629395,0.04340028,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.85,35.0499992370605,0.044018127,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,29.9500007629395,0.21891864,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.0499992370605,0.21645857,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.1499996185303,0.20297366,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.25,0.20369174,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.3500003814697,0.20881745,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.4500007629395,0.23277824,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.5499992370605,0.23800768,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.6499996185303,0.21434788,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.75,0.20499797,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.8500003814697,0.20883495,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,30.9500007629395,0.20085858,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.0499992370605,0.19324718,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.1499996185303,0.19747008,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.25,0.19251907,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.3500003814697,0.19504769,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.4500007629395,0.19269039,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.5499992370605,0.1926128,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.6499996185303,0.19381313,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.75,0.20058785,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.8500003814697,0.21504194,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,31.9500007629395,0.22619651,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.0499992370605,0.20716831,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.1500015258789,0.20319124,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.25,0.20211007,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.3499984741211,0.20051582,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.4500007629395,0.19219705,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.5499992370605,0.16575491,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,32.6500015258789,0.15190932,2093.745614
