GLAM Project,,,,,,,,,,
NASA/GSFC/GIMMS,,,,,,,,,,
USDA/FAS/IPAD,,,,,,,,,,
Created on 2022-04-21 04:51:17 UTC,,,,,,,,,,
,,,,,,,,,,
DB VERSION,v9,,,,,,,,,
SAT,Terra AM,,,,,,,,,
PRODUCT,MODIS NDVI 8-day,,,,,,,,,
MEAN,2001-2018,,,,,,,,,
MASK,GDA-CropID-China_2021_Rice,,,,,,,,,
SHAPE,ADM,,,,,,,,,
ID(s),28585,,,,,,,,,
MAX SAMPLE COUNT,760770,,,,,,,,,
,,,,,,,,,,
ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2000-049,2/18/2000,2/25/2000,STD,0.198,16168,0.273,520937,-0.075,0.198,0.369
2000-057,2/26/2000,3/4/2000,STD,0.218,282079,0.259,643239,-0.041,0.18,0.373
2000-065,3/5/2000,3/12/2000,STD,0.217,266694,0.279,742029,-0.062,0.217,0.364
2000-073,3/13/2000,3/20/2000,STD,0.238,424498,0.267,755847,-0.029,0.233,0.403
2000-081,3/21/2000,3/28/2000,STD,0.239,460405,0.275,756116,-0.036,0.204,0.329
2000-089,3/29/2000,4/5/2000,STD,0.255,625247,0.279,756336,-0.024,0.255,0.314
2000-097,4/6/2000,4/13/2000,STD,0.255,689422,0.282,756381,-0.027,0.236,0.314
2000-105,4/14/2000,4/21/2000,STD,0.272,668104,0.285,756337,-0.013,0.243,0.312
2000-113,4/22/2000,4/29/2000,STD,0.261,479983,0.299,756380,-0.038,0.233,0.338
2000-121,4/30/2000,5/7/2000,STD,0.28,698856,0.298,756163,-0.018,0.259,0.328
2000-129,5/8/2000,5/15/2000,STD,0.292,676335,0.298,756364,-0.006,0.276,0.313
2000-137,5/16/2000,5/23/2000,STD,0.3,699704,0.303,756382,-0.003,0.277,0.334
2000-145,5/24/2000,5/31/2000,STD,0.332,710916,0.306,756384,0.026,0.27,0.334
2000-153,6/1/2000,6/8/2000,STD,0.341,704910,0.331,756367,0.01,0.299,0.375
2000-161,6/9/2000,6/16/2000,STD,0.366,752027,0.394,756372,-0.028,0.342,0.484
2000-169,6/17/2000,6/24/2000,STD,0.457,704919,0.51,756340,-0.053,0.449,0.606
2000-177,6/25/2000,7/2/2000,STD,0.568,644795,0.629,756171,-0.061,0.549,0.761
2000-185,7/3/2000,7/10/2000,STD,0.634,732202,0.724,756381,-0.09,0.634,0.82
2000-193,7/11/2000,7/18/2000,STD,0.687,696536,0.786,756384,-0.099,0.687,0.853
2000-201,7/19/2000,7/26/2000,STD,0.751,674584,0.82,756385,-0.069,0.739,0.87
2000-209,7/27/2000,8/3/2000,STD,0.78,721387,0.835,756384,-0.055,0.78,0.867
2000-217,8/4/2000,8/11/2000,STD,0.806,370700,0.833,756384,-0.027,0.803,0.86
2000-225,8/12/2000,8/19/2000,STD,0.744,216331,0.812,756384,-0.068,0.744,0.837
2000-233,8/20/2000,8/27/2000,STD,0.755,561829,0.775,756384,-0.02,0.737,0.815
2000-241,8/28/2000,9/4/2000,STD,0.699,631749,0.728,756385,-0.029,0.693,0.772
2000-249,9/5/2000,9/12/2000,STD,0.644,710492,0.664,756385,-0.02,0.632,0.722
2000-257,9/13/2000,9/20/2000,STD,0.555,739378,0.584,756385,-0.029,0.531,0.654
2000-265,9/21/2000,9/28/2000,STD,0.456,633679,0.514,756294,-0.058,0.419,0.568
2000-273,9/29/2000,10/6/2000,STD,0.402,665419,0.427,756384,-0.025,0.341,0.518
2000-281,10/7/2000,10/14/2000,STD,0.34,702119,0.351,755733,-0.011,0.289,0.442
2000-289,10/15/2000,10/22/2000,STD,0.292,652565,0.29,755382,0.002,0.266,0.334
2000-297,10/23/2000,10/30/2000,STD,0.262,684962,0.26,755715,0.002,0.245,0.301
2000-305,10/31/2000,11/7/2000,STD,0.247,715270,0.25,755692,-0.003,0.233,0.279
2000-313,11/8/2000,11/15/2000,STD,0.23,598772,0.243,755855,-0.013,0.226,0.268
2000-321,11/16/2000,11/23/2000,STD,0.241,502434,0.242,755788,-0.001,0.209,0.29
2000-329,11/24/2000,12/1/2000,STD,0.247,147169,0.248,754820,-0.001,0.215,0.293
2000-337,12/2/2000,12/9/2000,STD,0.242,208863,0.249,751599,-0.007,0.21,0.312
2000-345,12/10/2000,12/17/2000,STD,0.264,183591,0.264,652383,0,0.212,0.316
2000-353,12/18/2000,12/25/2000,STD,0.292,126676,0.27,645790,0.022,0.221,0.36
2000-361,12/26/2000,1/2/2001,STD,0.278,155587,0.282,470816,-0.004,0.172,0.362
2001-001,1/1/2001,1/8/2001,STD,0.257,83374,0.281,380225,-0.024,0.204,0.466
2001-009,1/9/2001,1/16/2001,STD,0.323,153527,0.288,372891,0.035,0.207,0.371
2001-017,1/17/2001,1/24/2001,STD,0.295,81618,0.271,430377,0.024,0.155,0.349
2001-025,1/25/2001,2/1/2001,STD,0.306,111777,0.261,471734,0.045,0.202,0.396
2001-033,2/2/2001,2/9/2001,STD,0.247,56151,0.247,436303,0,0.161,0.375
2001-041,2/10/2001,2/17/2001,STD,0.34,166538,0.261,443823,0.079,0.151,0.383
2001-049,2/18/2001,2/25/2001,STD,0.29,225339,0.273,520937,0.017,0.198,0.369
2001-057,2/26/2001,3/5/2001,STD,0.265,241917,0.259,643239,0.006,0.18,0.373
2001-065,3/6/2001,3/13/2001,STD,0.303,261070,0.279,742029,0.024,0.217,0.364
2001-073,3/14/2001,3/21/2001,STD,0.263,385813,0.267,755847,-0.004,0.233,0.403
2001-081,3/22/2001,3/29/2001,STD,0.273,376367,0.275,756116,-0.002,0.204,0.329
2001-089,3/30/2001,4/6/2001,STD,0.266,597469,0.279,756336,-0.013,0.255,0.314
2001-097,4/7/2001,4/14/2001,STD,0.264,539998,0.282,756381,-0.018,0.236,0.314
2001-105,4/15/2001,4/22/2001,STD,0.259,717206,0.285,756337,-0.026,0.243,0.312
2001-113,4/23/2001,4/30/2001,STD,0.269,704330,0.299,756380,-0.03,0.233,0.338
